,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
0,A no further action disposal,18-24,White - Any other White background,Male,2018-11-01T11:30:43+00:00,bu-no-further-action,A no further action disposal,51.513389000000004,-0.08003400000000001,Person search,White,
1,Arrest,over 34,White - Any other White background,Male,2018-11-01T17:07:39+00:00,bu-arrest,Arrest,51.516496999999994,-0.094115,Person search,White,Stolen goods
2,Khat or Cannabis warning,25-34,Asian/Asian British - Any other Asian background,Male,2018-11-01T22:27:15+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.517032,-0.089451,Person search,Asian,Controlled drugs
5,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,2018-11-02T13:19:22+00:00,bu-no-further-action,A no further action disposal,51.51445,-0.100974,Person and Vehicle search,White,Controlled drugs
6,A no further action disposal,18-24,White - Any other White background,Male,2018-11-02T14:00:26+00:00,bu-no-further-action,A no further action disposal,51.508066,-0.08778,Person search,White,Stolen goods
7,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2018-11-02T20:38:58+00:00,bu-no-further-action,A no further action disposal,51.518262,-0.088203,Person search,Black,Controlled drugs
9,A no further action disposal,18-24,,Male,2018-11-04T01:54:17+00:00,bu-no-further-action,A no further action disposal,51.513296999999994,-0.10195900000000001,Person search,White,Controlled drugs
12,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2018-11-05T00:38:14+00:00,bu-no-further-action,A no further action disposal,51.509614,-0.079011,Person and Vehicle search,Black,Stolen goods
14,,18-24,Asian/Asian British - Bangladeshi,Male,2018-11-05T01:24:41+00:00,,,51.51005,-0.120396,Person and Vehicle search,Asian,Controlled drugs
15,A no further action disposal,25-34,Other ethnic group - Not stated,Female,2018-11-05T11:18:01+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,Black,Controlled drugs
19,Khat or Cannabis warning,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2018-11-05T23:18:45+00:00,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.508587,-0.078924,Person search,Asian,Controlled drugs
20,A no further action disposal,over 34,Black/African/Caribbean/Black British - Caribbean,Male,2018-11-05T23:31:52+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,Black,Controlled drugs
21,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2018-11-05T23:37:47+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,Asian,Controlled drugs
22,A no further action disposal,,,Male,2018-11-06T00:16:56+00:00,bu-no-further-action,A no further action disposal,51.508587,-0.078924,Person search,,Controlled drugs
26,A no further action disposal,18-24,Asian/Asian British - Indian,Male,2018-11-06T02:28:13+00:00,bu-no-further-action,A no further action disposal,51.516047,-0.075411,Person and Vehicle search,Asian,Controlled drugs
32,A no further action disposal,25-34,Asian/Asian British - Bangladeshi,Male,2018-11-07T01:46:48+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,Asian,Controlled drugs
